col_date,col_value
2017-07-10T00:00:00.0000000,1.10335
2017-07-11T00:00:00.0000000,1.05920
2017-07-12T00:00:00.0000000,0.24998
2017-07-13T00:00:00.0000000,0.93461
2017-07-14T00:00:00.0000000,2.00142
2017-07-15T00:00:00.0000000,0.58599
2017-07-16T00:00:00.0000000,0.85014
2017-07-17T00:00:00.0000000,0.39000
2017-07-18T00:00:00.0000000,0.50315
2017-07-19T00:00:00.0000000,1.10052
2017-07-20T00:00:00.0000000,1.41267
2017-07-21T00:00:00.0000000,0.78514
2017-07-22T00:00:00.0000000,0.38983
2017-07-23T00:00:00.0000000,0.57233
2017-07-24T00:00:00.0000000,0.38296
2017-07-25T00:00:00.0000000,1.18613
2017-07-26T00:00:00.0000000,0.65162
2017-07-27T00:00:00.0000000,0.51544
2017-07-28T00:00:00.0000000,0.23525
2017-07-29T00:00:00.0000000,3.24281
2017-07-30T00:00:00.0000000,0.42323
2017-07-31T00:00:00.0000000,0.34229
2017-08-01T00:00:00.0000000,0.78104
2017-08-02T00:00:00.0000000,0.88994
2017-08-03T00:00:00.0000000,0.50107
2017-08-04T00:00:00.0000000,0.54114
2017-08-05T00:00:00.0000000,0.47629
2017-08-06T00:00:00.0000000,0.26383
2017-08-07T00:00:00.0000000,0.94425
2017-08-08T00:00:00.0000000,0.79671
2017-08-09T00:00:00.0000000,0.86589
2017-08-10T00:00:00.0000000,0.43953
2017-08-11T00:00:00.0000000,0.87926
2017-08-12T00:00:00.0000000,0.65664
2017-08-13T00:00:00.0000000,0.37519
2017-08-14T00:00:00.0000000,0.09369
2017-08-15T00:00:00.0000000,1.07706
2017-08-16T00:00:00.0000000,0.52000
2017-08-17T00:00:00.0000000,0.40000
2017-08-18T00:00:00.0000000,0.33000
2017-08-19T00:00:00.0000000,0.56000
2017-08-20T00:00:00.0000000,0.14000
2017-08-21T00:00:00.0000000,0.80000
2017-08-22T00:00:00.0000000,0.58000
2017-08-23T00:00:00.0000000,0.38000
2017-08-24T00:00:00.0000000,0.08000
2017-08-25T00:00:00.0000000,0.58000
2017-08-26T00:00:00.0000000,0.45000
2017-08-27T00:00:00.0000000,0.27000
2017-08-28T00:00:00.0000000,0.80000
2017-08-29T00:00:00.0000000,0.89000
2017-08-30T00:00:00.0000000,0.49000
2017-08-31T00:00:00.0000000,0.71000
2017-09-01T00:00:00.0000000,0.27000
2017-09-02T00:00:00.0000000,0.41000
2017-09-03T00:00:00.0000000,0.08000
2017-09-04T00:00:00.0000000,0.15000
2017-09-05T00:00:00.0000000,1.90000
2017-09-06T00:00:00.0000000,0.30000
2017-09-07T00:00:00.0000000,0.51000
2017-09-08T00:00:00.0000000,0.15000
2017-09-09T00:00:00.0000000,0.99000
2017-09-10T00:00:00.0000000,0.42000
2017-09-11T00:00:00.0000000,0.17000
2017-09-12T00:00:00.0000000,0.41000
2017-09-13T00:00:00.0000000,0.87000
2017-09-14T00:00:00.0000000,0.67000
2017-09-15T00:00:00.0000000,2.49000
2017-09-16T00:00:00.0000000,0.44000
2017-09-17T00:00:00.0000000,0.46000
2017-09-18T00:00:00.0000000,0.24000
2017-09-19T00:00:00.0000000,0.12000
2017-09-20T00:00:00.0000000,2.99000
2017-09-21T00:00:00.0000000,0.09000
2017-09-22T00:00:00.0000000,0.69000
2017-09-23T00:00:00.0000000,0.63000
2017-09-24T00:00:00.0000000,0.41000
2017-09-25T00:00:00.0000000,0.85000
2017-09-26T00:00:00.0000000,0.69000
2017-09-27T00:00:00.0000000,1.18000
2017-09-28T00:00:00.0000000,0.69000
2017-09-29T00:00:00.0000000,1.02000
2017-09-30T00:00:00.0000000,0.92000
2017-10-01T00:00:00.0000000,1.80000
2017-10-02T00:00:00.0000000,1.18000
2017-10-03T00:00:00.0000000,0.74000
2017-10-04T00:00:00.0000000,0.00000
